adwaita-icon-theme  48.1-1
libsystemd-dev:arm64  257.13-1~deb13u1
libtag1-dev  2.0.2-2
libtag2:arm64  2.0.2-2
libtag-c2:arm64  2.0.2-2
libtag-c-dev:arm64  2.0.2-2
libtag-dev:arm64  2.0.2-2
libtalloc2:arm64  2:2.4.3+samba4.22.10+dfsg-0+deb13u2
libtasn1-6-dev:arm64  4.20.0-2+deb13u1
libtdb1:arm64  2:1.4.13+samba4.22.10+dfsg-0+deb13u2
libtevent0t64:arm64  2:0.16.2+samba4.22.10+dfsg-0+deb13u2
libthai0:arm64  0.1.29-2+b1
libthai-data  0.1.29-2
libtheoradec1:arm64  1.2.0~alpha1+dfsg-6
libtheoraenc1:arm64  1.2.0~alpha1+dfsg-6
libtiff6:arm64  4.7.0-3+deb13u3
libtinyxml2-11:arm64  11.0.0+dfsg-1+b1
libtinyxml2.6.2v5:arm64  2.6.2-7
libtinyxml2-dev:arm64  11.0.0+dfsg-1+b1
libtinyxml-dev:arm64  2.6.2-7
libtool  2.5.4-4
libtwolame0:arm64  0.4.0-2+b2
libudev-dev:arm64  257.13-1~deb13u1
libudfread0:arm64  1.1.2-1+b2
libudfread-dev:arm64  1.1.2-1+b2
libunbound8:arm64  1.22.0-2+deb13u3
libunibreak6:arm64  6.1-3
libunibreak-dev:arm64  6.1-3
libusb-0.1-4:arm64  2:0.1.12-35+b1
libva2:arm64  2.22.0-3
libva-dev:arm64  2.22.0-3
libva-drm2:arm64  2.22.0-3
libva-glx2:arm64  2.22.0-3
libva-wayland2:arm64  2.22.0-3
libva-x11-2:arm64  2.22.0-3
libvdpau1:arm64  1.5-3+b1
libvdpau-dev:arm64  1.5-3+b1
libvidstab1.1:arm64  1.1.0-2+b2
libvorbis0a:arm64  1.3.7-3
libvorbisenc2:arm64  1.3.7-3
libvorbisfile3:arm64  1.3.7-3
libvpx9:arm64  1.15.0-2.1+deb13u1
libvulkan1:arm64  1.4.309.0-1
libwacom9:arm64  2.14.0-1
libwacom-common  2.14.0-1
libwacom-dev:arm64  2.14.0-1
libwayland-bin  1.23.1-3
libwayland-client0:arm64  1.23.1-3
libwayland-client++1:arm64  1.0.0-6+b2
libwayland-client-extra++1:arm64  1.0.0-6+b2
libwayland-cursor0:arm64  1.23.1-3
libwayland-cursor++1:arm64  1.0.0-6+b2
libwayland-dev:arm64  1.23.1-3
