liblastlog2-2:arm64  2.41.5-0+deb13u1
liblcms2-2:arm64  2.16-2+deb13u2
liblcms2-dev:arm64  2.16-2+deb13u2
libldap2:arm64  2.6.10+dfsg-1
libldap-dev:arm64  2.6.10+dfsg-1
libldb2:arm64  2:2.11.0+samba4.22.10+dfsg-0+deb13u2
liblerc4:arm64  4.0.0+ds-5
liblilv-0-0:arm64  0.24.26-1
liblirc0t64:arm64  0.10.2-0.10
liblirc-client0t64:arm64  0.10.2-0.10
liblirc-dev  0.10.2-0.10
libllvm19:arm64  1:19.1.7-3+b1
liblmdb0:arm64  0.9.31-1+b2
liblocale-gettext-perl  1.07-7+b1
liblognorm5:arm64  2.0.6-5
liblsan0:arm64  14.2.0-19
liblsof0  4.99.4+dfsg-2
libltdl7:arm64  2.5.4-4
libltdl-dev:arm64  2.5.4-4
liblz4-1:arm64  1.10.0-4
liblzma5:arm64  5.8.1-1+deb13u1
liblzo2-2:arm64  2.10-3+b1
liblzo2-dev:arm64  2.10-3+b1
libmagic1t64:arm64  1:5.46-5
libmagic-mgc  1:5.46-5
libmariadb3:arm64  1:11.8.6-0+deb13u1
libmariadb-dev  1:11.8.6-0+deb13u1
libmariadb-dev-compat  1:11.8.6-0+deb13u1
libmbedcrypto16:arm64  3.6.5-0.1~deb13u1
libmd0:arm64  1.1.0-2+b1
libmicrohttpd12t64:arm64  1.0.1-4
libmicrohttpd-dev:arm64  1.0.1-4
libmnl0:arm64  1.0.5-3
libmount1:arm64  2.41.5-0+deb13u1
libmount-dev:arm64  2.41.5-0+deb13u1
libmp3lame0:arm64  3.100-6+b3
libmpc3:arm64  1.3.1-1+b3
libmpfr6:arm64  4.2.2-1
libmpg123-0t64:arm64  1.32.10-1+deb13u1
libmtdev1t64:arm64  1.1.7-1
libmtdev-dev:arm64  1.1.7-1
libmysofa1:arm64  1.3.3+dfsg-1
libncursesw6:arm64  6.5+20250216-2
libnetplan1:arm64  1.1.2-7
libnettle8t64:arm64  3.10.1-1
libnewt0.52:arm64  0.52.25-1
libnfs14:arm64  5.0.2-1+b2
libnfs-dev:arm64  5.0.2-1+b2
libnghttp2-14:arm64  1.64.0-1.1+deb13u1
libnghttp2-dev:arm64  1.64.0-1.1+deb13u1
libnghttp3-9:arm64  1.8.0-1
libnghttp3-dev:arm64  1.8.0-1
libngtcp2-16:arm64  1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64  1.11.0-1+deb13u1
libngtcp2-crypto-gnutls-dev:arm64  1.11.0-1+deb13u1
libngtcp2-dev:arm64  1.11.0-1+deb13u1
libnl-3-200:arm64  3.7.0-2
libnl-genl-3-200:arm64  3.7.0-2
libnl-route-3-200:arm64  3.7.0-2
libnorm1t64:arm64  1.5.9+dfsg-3.1+b2
libnpth0t64:arm64  1.8-3
libnspr4:arm64  2:4.36-1
libnss3:arm64  2:3.110-1+deb13u4
libntfs-3g89t64:arm64  1:2022.10.3-5+deb13u2
libnuma1:arm64  2.0.19-1
libogg0:arm64  1.3.5-3+b2
libonig5:arm64  6.9.9-1+b1
libopengl0:arm64  1.7.0-1+b2
libopengl-dev:arm64  1.7.0-1+b2
libopenjp2-7:arm64  2.5.3-2.1~deb13u2
libopenmpt0t64:arm64  0.7.13-1+b1
libopus0:arm64  1.5.2-2
libp11-kit0:arm64  0.25.5-3
libp11-kit-dev:arm64  0.25.5-3
libp8-platform2:arm64  2.1.0.1+dfsg1-4+b3
libpam0g:arm64  1.7.0-5
libpam-modules:arm64  1.7.0-5
libpam-modules-bin  1.7.0-5
libpam-runtime  1.7.0-5
libpam-systemd:arm64  257.13-1~deb13u1
libpango-1.0-0:arm64  1.56.3-1
libpangocairo-1.0-0:arm64  1.56.3-1
libpangoft2-1.0-0:arm64  1.56.3-1
libparted2t64:arm64  3.6-5
